,Product_code,Words,sentences
13,B08CKY5XX3,price,"I got it for 23000 and at this price, it's really a good deal, go for it if u need a laptop for basic work.good battery life, but the webcam has little poor quality and since it has ssd it has good speed finally the good thing is it has an anti-glare screen."
14,B08CKY5XX3,price,"Very good happy with thatGood battery 🔋 back-upSound quality is also goodSo thin and light weightGood for multimedia and office works
In this price range it is the best product...I m fully impressed with this laptop💻💻I recommended to all those buyer who want to buy in this price range... 😍😍😍😍
Display is not up to the mark
Bettery life isn't good."
15,B08CKY5XX3,price,Best laptop in this price range for basic use.
16,B08CKY5XX3,price,At this price segment with SSD value for money.
17,B08CKY5XX3,price,"Nice laptop under the price segment, best for student for online class and day to day use
Very useful and value for money
In dececription mention that this laptop has both 256gb ssd and 256gb hdd that's wrongThis laptop has only 256 ssd...❌❌Over all laptop is good in this price range
Nice and light weight product good for online school and online meetings
I liked it
1."
18,B08CKY5XX3,price,"working in good conditionLooks good
Amazing product at this price point I am very happy with this product the fingerprint reader is slightly slow sometimes but the other things are amazing best product at 23000
This best thing for students in this price."
19,B08CKY5XX3,price,Review after 3 days of use- This is good laptop at this price range.
20,B08CKY5XX3,price,"Good look, very fast, good battery back up... Over all good package..
Fast boot up, freely upgradeable to windows 11, wider display, works comfortable.. Lowest price ever
Battery life is satisfactory, but weight is a bit high."
21,B08CKY5XX3,price,"Good laptop, battery life amazing, best quality in this price range
This item is good but display and cemara is very bad
Excellent laptop ."
22,B08CKY5XX3,price,"Display and camera does not meet the expectations,but battery life and performance are good
Nice
No good
In this price is pretty much good laptop no problem at first day I'll edit this review after 2 month
Best laptop in this price
Light weight
Need my money back ASAP
Sleek perfect for carry jus like macbookpro but only 1 con no lanport
Very good product
Very bad laptop .."
23,B08CKY5XX3,price,"\xa0That'a good laptop with this price
Laptops with ssd always goodThanks Amazon You made this platform
Very good product  on this price thanks amazon
asus is ok intel processor hang
The display is on the yellowish Side."
24,B08CKY5XX3,price,Worth product for this price.
25,B08CKY5XX3,price,"Happy with the product"", 'Light weight, good battery life and happy with the product
Very superb best I can't say more so best
This laptop is awesome
The charger gets hot after 30 mins of charging but overall a good laptop
Good one for medium use - price is reasonable."
26,B08CKY5XX3,price,"Good laptop for this price range
Good one for the price
Defective product delivered
Good, Value for Money!"
27,B08CKY5XX3,price,But can't get any better for this price.
28,B08CKY5XX3,price,"Weight is light and easy to carry
Battery it's okay and the weight is  averageGood price in this budget looks also not bad and it very easy to use
Product at this price is perfect, design, battery life, speed, starting time, speaker, backlit, touch pad, key pad, charger all is ok
It's amazing displayGrate battery lifeGood processing speedAnd impressive performanceLight weight and slimWith FHD displayAntiglaire technology
The media could not be loaded."
29,B08CKY5XX3,price,"Go for lenovo s145 ryzen 3  , it's price is 27500,This laptop  may not good for long timeOk
Best laptop for this prize4gb ram good laptop smooth keyboard smoot laptop no gaming laptop."
30,B08CKY5XX3,battery,"Earlier I used Core i5 10th gen, although it was powerful but battery life wasn't that great."
31,B08CKY5XX3,battery,"Boot up time, battery, picture, fingerprint and sound quality are very good."
32,B08CKY5XX3,battery,Light weight and battery backup is a plus point along with the portability and silver colour looks awesome.A must go for academicians and professionals.
33,B08CKY5XX3,battery,"I got it for 23000 and at this price, it's really a good deal, go for it if u need a laptop for basic work.good battery life, but the webcam has little poor quality and since it has ssd it has good speed finally the good thing is it has an anti-glare screen."
34,B08CKY5XX3,battery,\xa0Except camera and display color accuracy every thing is great like ssd battery finger print sensor sound quality is very nice and it has 15.6 inch screen with good battery life about 4-5hrs in normal usage.
35,B08CKY5XX3,battery,"Very good happy with thatGood battery 🔋 back-upSound quality is also goodSo thin and light weightGood for multimedia and office works
In this price range it is the best product...I m fully impressed with this laptop💻💻I recommended to all those buyer who want to buy in this price range... 😍😍😍😍
Display is not up to the mark
Bettery life isn't good."
36,B08CKY5XX3,battery,"I had bought this only browsing but still it's not working
Laptop is good for basic use but if u install games in this like gta san andreas vice cityIt gets stuck and keys don’t work in this situation so u will have to shut downIts good for basic use like browsing email watching movies modify documents
The wrost things of this laptop is heating issue both charger and laptop battery when u charging ."
37,B08CKY5XX3,battery,Not working in battery even after charging for 3 hours.
38,B08CKY5XX3,battery,"battery life"", ""light weight"" and ""fingerprint reader"" is good but not sd card reader shoked available."
39,B08CKY5XX3,battery,I am using it since 1 month...bo issues... battery backup and sound quality is awesome....running smoothly no issues found.
40,B08CKY5XX3,battery,"\xa0They schould must provide a battery life of 9-10 hrs other then this all thing is good
It is a very good laptop.Best for online class and other work."
41,B08CKY5XX3,battery,"Good look, very fast, good battery back up... Over all good package..
Fast boot up, freely upgradeable to windows 11, wider display, works comfortable.. Lowest price ever
Battery life is satisfactory, but weight is a bit high."
42,B08CKY5XX3,battery,"Good laptop, battery life amazing, best quality in this price range
This item is good but display and cemara is very bad
Excellent laptop ."
43,B08CKY5XX3,battery,"Display and camera does not meet the expectations,but battery life and performance are good
Nice
No good
In this price is pretty much good laptop no problem at first day I'll edit this review after 2 month
Best laptop in this price
Light weight
Need my money back ASAP
Sleek perfect for carry jus like macbookpro but only 1 con no lanport
Very good product
Very bad laptop .."
44,B08CKY5XX3,battery,"Camera is too poor
Good battery life 6 hrs approx,best for online classes and college students
good for online class
The media could not be loaded."
45,B08CKY5XX3,battery,"Happy with the product"", 'Light weight, good battery life and happy with the product
Very superb best I can't say more so best
This laptop is awesome
The charger gets hot after 30 mins of charging but overall a good laptop
Good one for medium use - price is reasonable."
46,B08CKY5XX3,battery,"Please don’t buy this laptopIt is not working well within 1 month its performance is deteroited.Battery back up less than 1hour.Freezing problemInternet not connectingIt is just waste of money
The battery is not good."
47,B08CKY5XX3,battery,"Weight is light and easy to carry
Battery it's okay and the weight is  averageGood price in this budget looks also not bad and it very easy to use
Product at this price is perfect, design, battery life, speed, starting time, speaker, backlit, touch pad, key pad, charger all is ok
It's amazing displayGrate battery lifeGood processing speedAnd impressive performanceLight weight and slimWith FHD displayAntiglaire technology
The media could not be loaded."
48,B08CKY5XX3,quality,"I am using this laptop for a week and feeling so much thankful to my choice of purchase as it is working accordingly my expectations .This laptop was manufactured in Apr 21 and have great features like fingerprints 256GB ssd which gives flawless speed and having fast charging capacity although it is not full HD but still not much difference in picture quality comparatively.The most favored thing in this laptop is that is of only 21350 INR by HDFC credit EMI transaction .As I bought it for study purpose, it is one of the best laptop in this price range."
49,B08CKY5XX3,quality,"So no eye strain after long online classes, particularly good for kids.Multi tasking working fine.No lagging found while surfing, attending online classes, working with acrobat, word, excel, powerpoint...Battery backup excellent, almost 6 hours nonstop usage....Cons:Camera quality average, but ok for online classes and meeting.Have to buy external hdd, since it has only 195 gb available space...Due to processor, high end gaming not possible.Verdict.Bought at 21k."
50,B08CKY5XX3,quality,"After opening the laptop and setting id’s and all and then restarting it OS crashed and I have to return the laptop.Nothing went well for me so I have to return this laptop
I had an urgent requirement for a regular use laptop for my sister and searched amazon to find this one.Really very good deal under 23k since you are getting 256ssd for this price along with upgradable memory which originally is 4gb out of the box.Overall quality is good with quality speakers and good enough screen even though it is not full HD."
51,B08CKY5XX3,quality,"Boot up time, battery, picture, fingerprint and sound quality are very good."
52,B08CKY5XX3,quality,"The laptop does remarkable job to representing the company name, quality and service."
53,B08CKY5XX3,quality,\xa0Negative1.Fingerprints slow he kaafi2.Battery backup kam he3.video quality hd nahi lgta he.4.ssd storage he but slow boot hota he.Positive1.lockdown ke wajah se iss price me yani ke 25 k  me laptop milna muskil tha .
54,B08CKY5XX3,quality,"I got it for 23000 and at this price, it's really a good deal, go for it if u need a laptop for basic work.good battery life, but the webcam has little poor quality and since it has ssd it has good speed finally the good thing is it has an anti-glare screen."
55,B08CKY5XX3,quality,\xa0Except camera and display color accuracy every thing is great like ssd battery finger print sensor sound quality is very nice and it has 15.6 inch screen with good battery life about 4-5hrs in normal usage.
56,B08CKY5XX3,quality,"Very good happy with thatGood battery 🔋 back-upSound quality is also goodSo thin and light weightGood for multimedia and office works
In this price range it is the best product...I m fully impressed with this laptop💻💻I recommended to all those buyer who want to buy in this price range... 😍😍😍😍
Display is not up to the mark
Bettery life isn't good."
57,B08CKY5XX3,quality,Webcam video quality is a let down.
58,B08CKY5XX3,quality,"Good quality
Value for money, good for home use online schooling
I have bought this laptop for official work and being not so expensive it has fulfilled every aspect of my expectations .... Just the perfect laptop in this segment ..no lags n feels premium."
59,B08CKY5XX3,quality,\xa0Great product.. Sound quality is awesome.
60,B08CKY5XX3,quality,I am using it since 1 month...bo issues... battery backup and sound quality is awesome....running smoothly no issues found.
61,B08CKY5XX3,quality,"Superb quality .. slim design and light weight
The media could not be loaded."
62,B08CKY5XX3,quality,Purchased this for the  online classes.Features adequate.Lightweight construction without compromising on the build quality.
63,B08CKY5XX3,quality,Everything is working fine but display quality could have been better.
64,B08CKY5XX3,quality,Built quality2.Battery backup3.
65,B08CKY5XX3,quality,"Good laptop, battery life amazing, best quality in this price range
This item is good but display and cemara is very bad
Excellent laptop ."
66,B08CKY5XX3,quality,I bought this for my daughter's online classes it works good and the sound quality is awesome .
67,B08CKY5XX3,quality,"Value to the money, screen quality can be improved."
68,B08CKY5XX3,quality,"Good product but camera quality is so poor
The media could not be loaded."
69,B08CKY5XX3,quality,"Good quality am happy 😊
It's."
70,B08CKY5XX3,quality,"Performance is good
It's all nice"", 'Just awesome
Premium looking 💪🏻
Good
Average
Hattt
Thanks
Great
Like
Good
Okk
Good👍
Extremely slow performing system, low quality screen and the whole experience of getting the system run is messed up."
71,B08CKY5XX3,quality,"\xa0Very good project nice 👌 super good quality handwriting super aap log bhi bike Kar lijiye super laptop hai fantasting aap log
Laptop is hank and not good work please help ya return ya sending to enginner to home for repair p
Superb Product I'm very happy with it."
72,B08CKY5XX3,quality,""", 'Build quality is very nice."
73,B08CKY5XX3,office,"If your budget around 20 to 25k and looking for online classes or for normal office works or office works, then definitely go for it.."
74,B08CKY5XX3,office,I have purchased this for office work and my daughter online classes.It is really working fine.
75,B08CKY5XX3,office,"I was in doubt that is it will be support Tally & Busy Accounting Softwares.But after buy it all things are going good.Both Softwares are working without any issues.Nice Product 👍👍
I was looking for a laptop that wasn't too expensive but had enough power to get office work, web browsing etc done."
76,B08CKY5XX3,office,"It is light weight and useful for general browsing, home and office works, watching movies etc."
77,B08CKY5XX3,office,"Tasks associated with MS office, reading PDFs and online classes are very well managed by this system."
78,B08CKY5XX3,office,"Very good happy with thatGood battery 🔋 back-upSound quality is also goodSo thin and light weightGood for multimedia and office works
In this price range it is the best product...I m fully impressed with this laptop💻💻I recommended to all those buyer who want to buy in this price range... 😍😍😍😍
Display is not up to the mark
Bettery life isn't good."
79,B08CKY5XX3,office,Good for online class and office work .
80,B08CKY5XX3,office,This laptop only using office work not for gaming .
81,B08CKY5XX3,office,"So nice laptop
Value for money
Good for office use.. not good for big software
So faster
Light weight
The laptop looks beautiful."
82,B08CKY5XX3,office,"Ok for students
Met expectations
It's pretty good for office type of work, and web surfing."
83,B08CKY5XX3,classes,"So no eye strain after long online classes, particularly good for kids.Multi tasking working fine.No lagging found while surfing, attending online classes, working with acrobat, word, excel, powerpoint...Battery backup excellent, almost 6 hours nonstop usage....Cons:Camera quality average, but ok for online classes and meeting.Have to buy external hdd, since it has only 195 gb available space...Due to processor, high end gaming not possible.Verdict.Bought at 21k."
84,B08CKY5XX3,classes,"If your budget around 20 to 25k and looking for online classes or for normal office works or office works, then definitely go for it.."
85,B08CKY5XX3,classes,I have purchased this for office work and my daughter online classes.It is really working fine.
86,B08CKY5XX3,classes,"My kids Nursery classes started online this academic year and I though to purchase a basic laptop for him, and this one suitably serves the purpose for him."
87,B08CKY5XX3,classes,Well suited for online classes and light domestic use.
88,B08CKY5XX3,classes,"Tasks associated with MS office, reading PDFs and online classes are very well managed by this system."
89,B08CKY5XX3,classes,It's one those for online classes I have checked everything available online.
90,B08CKY5XX3,classes,"You get what you pay for, I bought it for kids online classes and till now it is working very well for thatDon't expect it to support high end apps
Very good looking, fast to boot and niceWindows 10 with SSD is a value which nothing in this budget offers.Got for 23k
Screen is not smart, btw it's good for now
The laptop was good but the storage is low as mentioned in Amazon there is 256 SSD but in actual there is only 237 SSD and for use only199 SSD storage so it's very bad thing I realized
writing after 15dyas of using."
91,B08CKY5XX3,classes,"\xa0Overall it's a good product for basic use if you don't do video editing and high level processing task...it's ok for video editing too but it takes more time bought in 24900rs
Laptop is good value for money for online classes."
92,B08CKY5XX3,classes,"Not for heavy use, just for study perpose, online classes, browsing etc..."
93,B08CKY5XX3,classes,Purchased this for the  online classes.Features adequate.Lightweight construction without compromising on the build quality.
94,B08CKY5XX3,classes,I bought this for my daughter's online classes it works good and the sound quality is awesome .
95,B08CKY5XX3,classes,"Camera is too poor
Good battery life 6 hrs approx,best for online classes and college students
good for online class
The media could not be loaded."
96,B095YC11CF,time,"I got this laptop @28k after exchanging my old laptop.If you don't do coding or heavy tasking then I would still say at least add SSD because boot time and performance is average which may annoy you so it's better to add SSD.Also this laptop is not very heavy gaming like PUBG PC, Apex Legends etc."
97,B095YC11CF,time,At that time i found it to be slow(background downloads and installations will happen) Go to updates and ensure that there are no pending updates.
98,B095YC11CF,time,"Put my laptop into refund, and these amazon people made me run behind them so much and nearly 2 weeks after they took laptop from me, and they still didnt initiate the refund.worst experience for the first time with amazon.Please dont buy htis and waste ur time as well as ur money.Amazon has falled down for me now."
99,B095YC11CF,time,The second time after initiating the return I just received a message that said couldn’t pick up the item from customer .
100,B095YC11CF,time,"Even after spending that much time, here are some issues still bothering me.1."
101,B095YC11CF,time,"Also, the first time when you open the laptop, it started taking update from Microsoft."
102,B095YC11CF,time,"Don't go by the configuration.I am a Dell and Apple fan, bought HP first time."
103,B095YC11CF,time,For the first time i am writing review.
104,B095YC11CF,time,Very worst and poor performance and taking the much time to open the applications and folders as well.
105,B095YC11CF,time,This is not 1st time it was happened earlier and I had a bad experience with the same HP product.
106,B095YC11CF,time,"When I power on, after that it will take a time to open a app.Also I don't like the cover skin."
107,B095YC11CF,time,"*Charging time is less*Sound quality is good
Vary vary poor quality....plz gyus don't buy this laptop 🙄🙄
Packing worst, everything is opened not sealed used or notLittle bit price highBody is cheap qualityWorking wise goodBooting btine little lag maybe not 15.6 inc
It is system with 8GB, but working like 2GB system."
108,B095YC11CF,time,Windows and Microsoft Office are lifetime valid.
109,B095YC11CF,time,It takes too much time to start also.
110,B095YC11CF,time,takes lot of time to startup.
111,B095YC11CF,time,i had to shut down restart atleast 10 times and then it came up.
112,B095YC11CF,time,"Not happy with the performance
laptop is great in performance side it can do daily task like browser, online classes, any microsoft office workand very light gaming(it takes a lot of time to load a game due to hard drive).battery life when power saver is off its 3 hours more or less with 50% of brightness.power saver is on its around 6 hours on 50% of brightness.i only do browser work so its not consume more power.it can play 8k video on youtube easily with no problem.it bought it rupees 40K which a good deal for me.if you want good battery life don't buy it."
113,B095YC11CF,time,"Laptop's screen broke while working, in just 2 weeks time !"
114,B095YC11CF,time,"So, Thanks to Amazon support for the timely replacement."
115,B095YC11CF,time,The system hangs many times.
116,B095YC11CF,time,"If we open multiple tabs, then it will hang for a few seconds and many times in between also."
117,B095YC11CF,time,BUT A BIG THANKS TO AMAZON  for timely response of returning the defective piece  & Refunding the amount.
118,B095YC11CF,time,Slowed down many times and was hanging in between.
119,B095YC11CF,time,Took the support of HP center many times & finally returned.
120,B095YC11CF,time,"But Dissappointed
Waste of money and time."
121,B095YC11CF,time,"I am struggling to login to this worst laptop ever...
Disliking everything as I am getting trouble since opening for tbe first time."
122,B095YC11CF,time,"Amazon didn't expect from you... very worst"", ""I have Try to contect to Amazon and they say everytime we will except defective laptop definitely and refund my money..."
123,B095YC11CF,time,"(as per the price range)
Pros= 1- Display quality is good and bright2- Light weight3- Slim4- 1tb hard drive 5400 rpm5-button response is good6-speakers are decent7- web cam is good8- touch pad and button is good9- performanceCons=1- battery backup is not good2- no ssd installed but there is a slot for ssd3- no backlit keyboard4-only 2 usb port5- plastic frame of display
Quality not good and 100% battery charging 4 hours completed and charger heating during charging time and C drive partitions issue, please give any suggestions for laptop replacement."
124,B095YC11CF,time,Nice display .Initial setup takes time almost 1hr but after updating windows runs smoothly.
125,B095YC11CF,time,I got original HP laptop well packed before time.
126,B095YC11CF,time,"There is limited data in system.It's only been one month I am using this laptop, still this Pc is freezing & not responding many times."
127,B095YC11CF,time,Sometimes I couldn't login to windows .For it hold on power button to shut down then restart.
128,B095YC11CF,time,Do it for 2 or 3 times .
129,B095YC11CF,time,"It sometimes gets unresponsive for a second or so, but that's about it."
130,B095YC11CF,time,"But 1TB storage (although non SSD), FHD Display, 11th Gen i3 processor and 15.6 in display at this price point (for me it was 38k) is an amzing deal
Laptop takes very long time to start and shut down."
131,B095YC11CF,time,"\xa0I ordered 2 laps and returned both due to same reasons in this lap series.1-cursor not working while plugged in with charger2-Over heated within minutes3-took LITERALLY 10MINS to start and turn off4-not responding to commands most times
It's very slow when  we turn it on."
132,B095YC11CF,time,"Lagging sometime , got it for my kid s online class.cortona isn't working."
133,B095YC11CF,time,"Not sure if this can be exchanged now in warranty
On time delivery by amazon, appreciated."
134,B095YC11CF,time,Focused on weight less but it seems anytime may be get damage and doubts on reliability.
135,B095YC11CF,time,Taking too much time to reboot.
136,B095YC11CF,time,"One USB port not detecting, coming and going connection most times not detecting and battery aslo draining fast.What is the solution to my problem?"
137,B095YC11CF,time,"Niceproduct
Had bought considering the brandname of HP but post usage within 2-3 days, laptop started hanging while running apps and is taking too much time to boot."
138,B095YC11CF,time,"Almost takes 6-7 mins to boot and takes too much time while browsing
Very bad and not working after 8 days .Kindly request to Amazon team contact me ."
139,B095YC11CF,time,"Disgusting Product..Would like to return the product.Sloweest processor.No battery back up.Its like a duplicate HP laptop
money kuch jyada hai laptop ke hisab se ...strat hone me kafi time leta h or battry baclup 3.4 hrs only.go pro 4k vedio play hone me bahot time le rha
Please do not buy this product.Amazon has cheated on me.This Laptop is very very very slow.Once you buy can’t be changed
Working niceOriginal windows and MS office includedValue for money
It's extremely slow."
140,B095YC11CF,time,"Takes lot of time to start, to open windows and even files."
141,B095YC11CF,time,"Need to improve means definitely power socket in laptop is at the edge of corner sometimes cord comes out while charging from laptop end
One of the worst laptop hp could offer , not at all worth the money go for lenovo at this price range
The Laptop is really a best product and value for money 💵The performance of the Laptop is good 🤠I got more then what I expected from HPThank you 😊
The all round performance of the laptop is good."
142,B095YC11CF,time,"Don't buy it, too slow and have pixel defect
Its hang most of the time !"
143,B095YC11CF,time,I can't understand why it takes so much time to start.
144,B095YC11CF,time,"Starting is slow.. even if it is hibernated, it takes time to start.."
145,B095YC11CF,time,Just received this product on time and with good condition.
146,B095YC11CF,time,Can have a cup of coffee in mean time before you start working.
147,B095YC11CF,time,Sometimes it will stuck and opens very slowly.....
148,B095YC11CF,time,"good vallue for money but unfortunetly I faced issue with disply in just 15 days of purchase...but because of good service of HP and Amazon, Unit is under replacement...Thanks toHP  Amazon
The laptop is very hang when we open and take long time time to open the window
For low budget and normal work it is a good laptop."
149,B095YC11CF,time,"Overall good purchase but little disappointed about product quality and look
laptop is heating with sound & some time getting update as well working is slow
Too slowNot recommended at all
Looks Good."
150,B095YC11CF,time,"My old laptop booting time is far better although it has low configurations same hp laptop
Good
Product is really good , and I checked as it is having 4 gb graphics card , it even run GTA 5 on high graphics ."
151,B095YC11CF,time,"The product is to slow when open it not our expectation don’t by the product
Usefull and shop prise more,but this discounded by 3000 rs
It's taking too much time to open any app or browser
Good
It's good in this price range."
152,B095YC11CF,time,"I really loved itOverall it's a best product of hpM fully satisfied with the product and service of AmazonIt's a value for money
Value for money under 40 k..Laptop more heat when first time charge and slow in during intinal set up..Performance wise good.."
153,B095YC11CF,time,"Try to go with SSD instead of Harddisk, everytime takes 3-4 minutes or sometimes 30 minutes to start."
154,B095YC11CF,time,"Light weight and value for money both are okay but battery life is not better.. and also processing of laptop is not quick fast..
Takes time to start which is unusual for i3 with 8 gb ram
I like it very much
Processing speed, hangs
After one month the battery backup down to one hour 🤐🤐
That's good product
I don't like it at all as it is very slow to open
There is nothing to review as I have received a second hand product
After 2 or 3 hour continues use battery is totally dead."
155,B095YC11CF,time,"Very slow
Good performance except the start and power off time required."
156,B095YC11CF,time,"Take a hell lot of time to even open the laptop
Start power light is not working,Don't buy this product , fully disappointed."
157,B095YC11CF,time,"Laptop is very slow and hanging every time, Do not buy this laptop."
158,B095YC11CF,time,Delivered on time.Working very well.Overall nice product.
159,B095YC11CF,time,Also gives MS office student free for lifetime.
160,B095YC11CF,time,"It is very good product at a reasonable rate
It's k for my requirement
good one
Worst product.. don't buy..dam slow
Good
It's waste"", ""Every time it's take time
Compactable
NICE PRODUCT FAST DELIVERY
Its Best laptopGO For  It And Buy  It
Good product
Working very slow
Over okay."
161,B095YC11CF,time,"Laptop not start
Value for.money
Poor Performance
Value for Money
I really good
Good product
Nice product
Very slow
Liked the
Bhut bhut acha hai
Value of money
Like
Good
Slow performance
Nice one
Supper
Like
light weight
GOOD
Good
Nice
Added 512 GB SSD and the system works really good.Got no comparission.Net cost went to 40490+5000+1500=47000 for i3,8gb ram,512 SSD+1tb hard disk+3 year warranty+ ho original bag+ window+ life time office
11th Gen i3 laptop for less than 40K is a dream come true - With 8GB RAM, I can stop worrying about slower performance with this laptop and the 1TB HDD gives me ample space for my needs."
162,B095YC11CF,time,"!😥Good for education and learning purpose.Overall a decent laptop with a decent budget👍
I got the laptop at right time."
163,B095YC11CF,time,"This is good for gaming.the only problem i noticed that after 1 year the wifi,bluetooth adaptors not working, sometimes the lap dosent open and lagging.the battery backup is good.this laptop is good for office,home workIf this review is helpful plzz click the button below
Hi All,I have recently purchased this laptop, and on the very next day, it is getting hanged, unable to run the apps properly."
164,B095YC11CF,time,Booting time it is taking more than 2 minutes.
165,B095YC11CF,time,Speakers not working.Annoying noise comes from speakers all the time.No sounds of videos or music.Very poor experience of buying laptop from Amazon.
166,B095YC11CF,time,"But remember it's such a slow that it take ageis to processActually feeling bad for is slowest processor ever seen
This laptop has become black and white and I could see pink lines coming through it......even the customer care aren't doing anything
Worst products ever and worst delivery everDont buy this productGo for asus vivo 14 with i5 processorA
Waste product don’t buy waste of money more than that waste of time please don’t buy you go for dell which is far better
Too much slow ..please think before but it..wate of money..please go for another option.please don't buy it ."
167,B095YC11CF,time,"It's for only students"", 'Laptop is still slow I have one doubt it is small size when I checked it is only 14inch so I fell so sad
System is too much slow and it is taking too much time to login and not working properly.I want to replace."
168,B095YC11CF,time,"Performance is too slow, windows booting is taking lot of time, thinking to return back"
169,B095YC11CF,battery,"Hinges are not smooth and rigid, battery life is not impressive."
170,B095YC11CF,battery,"I likeProcessor speed display all connectivity fast charging battery backup upto 5 hours lightweight slim design overall good packageDislikePlastic type body design matte finish colour feel like low quality material and last the power button not feeling so good
I recieved laptop after  5 th days."
171,B095YC11CF,battery,"Not happy with the performance
laptop is great in performance side it can do daily task like browser, online classes, any microsoft office workand very light gaming(it takes a lot of time to load a game due to hard drive).battery life when power saver is off its 3 hours more or less with 50% of brightness.power saver is on its around 6 hours on 50% of brightness.i only do browser work so its not consume more power.it can play 8k video on youtube easily with no problem.it bought it rupees 40K which a good deal for me.if you want good battery life don't buy it."
172,B095YC11CF,battery,"go for acer laptop which have 48whr,most hp laptop has 41whr.Other than battery life its great."
173,B095YC11CF,battery,The battery life is poor.
174,B095YC11CF,battery,I find the battery backup not that good when compared to other brands.
175,B095YC11CF,battery,Boot and shutdown is quick use 2hrs battery goes from 100 to 60 % so I guess 4-5 hr backup.
176,B095YC11CF,battery,"(as per the price range)
Pros= 1- Display quality is good and bright2- Light weight3- Slim4- 1tb hard drive 5400 rpm5-button response is good6-speakers are decent7- web cam is good8- touch pad and button is good9- performanceCons=1- battery backup is not good2- no ssd installed but there is a slot for ssd3- no backlit keyboard4-only 2 usb port5- plastic frame of display
Quality not good and 100% battery charging 4 hours completed and charger heating during charging time and C drive partitions issue, please give any suggestions for laptop replacement."
177,B095YC11CF,battery,"Cheap plastic; doesnt feel like 11th gen i3 processor; my old dual core pc with 4gb ram is faster than this; screen and battery is good; didnt have much expectation from it as it is budget laptop, still it doesnot meet it."
178,B095YC11CF,battery,battery backup 3 to 4 hours that is only negative.
179,B095YC11CF,battery,Battery life is really good I am satisfied with its battery lifeI can say that in our area electricity supply is not good enough so yeah it is also value for money but it is not as light weight as I thought but it is light weighted if we compare it to old one .
180,B095YC11CF,battery,"One USB port not detecting, coming and going connection most times not detecting and battery aslo draining fast.What is the solution to my problem?"
181,B095YC11CF,battery,"Disgusting Product..Would like to return the product.Sloweest processor.No battery back up.Its like a duplicate HP laptop
money kuch jyada hai laptop ke hisab se ...strat hone me kafi time leta h or battry baclup 3.4 hrs only.go pro 4k vedio play hone me bahot time le rha
Please do not buy this product.Amazon has cheated on me.This Laptop is very very very slow.Once you buy can’t be changed
Working niceOriginal windows and MS office includedValue for money
It's extremely slow."
182,B095YC11CF,battery,"Laptop is good lokkwise but a little bit slow in performance and the battery must be improved, although the price is attractive but better performance is expected from HP
Heat up issues
Worst performance ."
183,B095YC11CF,battery,But battery life is a little less than certified by the company.
184,B095YC11CF,battery,"Light weight and value for money both are okay but battery life is not better.. and also processing of laptop is not quick fast..
Takes time to start which is unusual for i3 with 8 gb ram
I like it very much
Processing speed, hangs
After one month the battery backup down to one hour 🤐🤐
That's good product
I don't like it at all as it is very slow to open
There is nothing to review as I have received a second hand product
After 2 or 3 hour continues use battery is totally dead."
185,B095YC11CF,battery,"Ok
Dislike - it has surface defects like spots / patches.Defect product
Nice
Poor battery life apart from that very worthable product."
186,B095YC11CF,battery,"I like this laptop
Looking good battery backup avearage Loptop are working very slow
Laptop is good but it's battery capacity is very bad ."
